actor,movie
Hannah Herzsprung,15 Years (2023)
Hassan Akkouch,15 Years (2023)
Costas Mandylor,1521: The Quest for Love and Freedom (2023)
Danny Trejo,1521: The Quest for Love and Freedom (2023)
Michael Copon,1521: The Quest for Love and Freedom (2023)
Ronit Roy,15th August (1993)
Shakti Kapoor,15th August (1993)
Tisca Chopra,15th August (1993)
Jeremiah Benjamin,16 Bits (2023)
Kevin Caliber,16 Bits (2023)
Scott Butler,16 Bits (2023)
Bruce Willis,16 Blocks (2006)
David Morse,16 Blocks (2006)
Yasiin Bey,16 Blocks (2006)
Danny Denzongpa,16 December (2002)
Milind Soman,16 December (2002)
Kevin McKidd,16 Years of Alcohol (2003)
Laura Fraser,16 Years of Alcohol (2003)
Susan Lynch,16 Years of Alcohol (2003)
Athena Chu,160 Years Old (2021)
Monica Chan,160 Years Old (2021)
Yuan Tian,160 Years Old (2021)
Leslie Mann,17 Again (2009)
Matthew Perry,17 Again (2009)
Zac Efron,17 Again (2009)
Nilja K. Baby,1744 White Alto (2022)
Sajin Cherukayil,1744 White Alto (2022)
Vincy Aloshious,1744 White Alto (2022)
Kiichi Nakai,1750 Days of Turbulence (1990)
Kiyoshi Nakajoe,1750 Days of Turbulence (1990)
Mariko Okada,1750 Days of Turbulence (1990)
Charlie Schlatter,18 Again! (1988)
George Burns,18 Again! (1988)
Benedetta Porcaroli,18 Presents (2020)
Edoardo Leo,18 Presents (2020)
Vittoria Puccini,18 Presents (2020)
Cherie Chung,18 Times (1988)
Eric Tsang,18 Times (1988)
Kenny Bee,18 Times (1988)
Audrey Bastien,18 Years Old and Rising (2011)
Lou de Laâge,18 Years Old and Rising (2011)
Pierre Niney,18 Years Old and Rising (2011)
André Dussollier,18 ans après (2003)
Michel Boujenah,18 ans après (2003)
Roland Giraud,18 ans après (2003)
Nithya Menen,180 (2011)
Priya Anand,180 (2011)
Siddharth,180 (2011)
Azita Hajian,180 Degree Rule (2020)
Sadaf Asgari,180 Degree Rule (2020)
Sahar Dolatshahi,180 Degree Rule (2020)
John Lynch,1871 (1990)
Roshan Seth,1871 (1990)
Timothy Spall,1871 (1990)
Edward Asner,187: Documented (1997)
Mike Farrell,187: Documented (1997)
Susan Sarandon,187: Documented (1997)
Javier Gutiérrez,1898: Our Last Men in the Philippines (2016)
Luis Tosar,1898: Our Last Men in the Philippines (2016)
Álvaro Cervantes,1898: Our Last Men in the Philippines (2016)
Greg Han Hsu,18×2 Beyond Youthful Days (2024)
Hsiao-chuan Chang,18×2 Beyond Youthful Days (2024)
Kaya Kiyohara,18×2 Beyond Youthful Days (2024)
Indrajith Sukumaran,19 (1) (a) (2022)
Nithya Menen,19 (1) (a) (2022)
Vijay Sethupathi,19 (1) (a) (2022)
Bingbing Li,1911 (2011)
Jackie Chan,1911 (2011)
Winston Chao,1911 (2011)
Angela Sarafyan,1915 (2015)
Sam Page,1915 (2015)
Simon Abkarian,1915 (2015)
Aftab Shivdasani,1920: Evil Returns (2012)
Tia Bajpai,1920: Evil Returns (2012)
Dan Aykroyd,1941 (1979)
John Belushi,1941 (1979)
Treat Williams,1941 (1979)
Chingmy Yau,1941 Hong Kong on Fire (1994)
Chung-Hua Tou,1941 Hong Kong on Fire (1994)
Veronica Yip,1941 Hong Kong on Fire (1994)
Anil Kapoor,1942: A Love Story (1994)
Jackie Shroff,1942: A Love Story (1994)
Manisha Koirala,1942: A Love Story (1994)
Leesha Eclairs,1945 (2021)
Rana Daggubati,1945 (2021)
Regena Cassandrra,1945 (2021)
Nassar,1945 (2022)
Rana Daggubati,1945 (2022)
Regena Cassandrra,1945 (2022)
Antonis Kafetzopoulos,1968 (2018)
Ieroklis Michaelidis,1968 (2018)
Stelios Mainas,1968 (2018)
Bruce Dern,1969 (1988)
Kiefer Sutherland,1969 (1988)
Robert Downey Jr.,1969 (1988)
Deepak Dobriyal,1971 (2007)
Manoj Bajpayee,1971 (2007)
Ravi Kishan,1971 (2007)
Allu Sirish,1971: Beyond Borders (2017)
Mohanlal,1971: Beyond Borders (2017)
Anoop Menon,1983 (2014)
Joy Mathew,1983 (2014)
Nivin Pauly,1983 (2014)
John Hurt,1984 (1984)
Richard Burton,1984 (1984)
Suzanna Hamilton,1984 (1984)
Ha Jung-woo,1987: When the Day Comes (2017)
Kim Tae-ri,1987: When the Day Comes (2017)
Park Hee-soon,1987: When the Day Comes (2017)
Fred Williamson,1990: The Bronx Warriors (1982)
Mark Gregory,1990: The Bronx Warriors (1982)
Vic Morrow,1990: The Bronx Warriors (1982)
Ray Liotta,1992 (2022)
Scott Eastwood,1992 (2022)
Tyrese Gibson,1992 (2022)
Kriti Sanon,1: Nenokkadine (2014)
Mahesh Babu,1: Nenokkadine (2014)
Nassar,1: Nenokkadine (2014)
Julia Dietze,1½ Knights - In Search of the Ravishing Princess Herzelinde (2008)
Rick Kavanian,1½ Knights - In Search of the Ravishing Princess Herzelinde (2008)
Til Schweiger,1½ Knights - In Search of the Ravishing Princess Herzelinde (2008)
Adrián Suar,2 + 2 (2012)
Carla Peterson,2 + 2 (2012)
Julieta Díaz,2 + 2 (2012)
Benoît Magimel,2 Alone in Paris (2008)
Eric Judor,2 Alone in Paris (2008)
Ramzy Bedia,2 Alone in Paris (2008)
Bastien Bouillon,"2 Autumns, 3 Winters (2013)"
Maud Wyler,"2 Autumns, 3 Winters (2013)"
Vincent Macaigne,"2 Autumns, 3 Winters (2013)"
Jo Koo,2 Become 1 (2006)
Miriam Yeung,2 Become 1 (2006)
Richie Jen,2 Become 1 (2006)
David Arquette,2 Brothers & a Bride (2003)
Emily Mortimer,2 Brothers & a Bride (2003)
Tim Blake Nelson,2 Brothers & a Bride (2003)
Danny Aiello,2 Days in the Valley (1996)
Jeff Daniels,2 Days in the Valley (1996)
Teri Hatcher,2 Days in the Valley (1996)
Aravind Bolar,2 Ekre (2020)
Naveen D. Padil,2 Ekre (2020)
Pruthvi Ambaar,2 Ekre (2020)
Cole Hauser,2 Fast 2 Furious (2003)
Paul Walker,2 Fast 2 Furious (2003)
Tyrese Gibson,2 Fast 2 Furious (2003)
Denzel Washington,2 Guns (2013)
Mark Wahlberg,2 Guns (2013)
Paula Patton,2 Guns (2013)
Dustin Nguyen,2 Guns: Zero Tolerance (2015)
Sahajak Boonthanakit,2 Guns: Zero Tolerance (2015)
Scott Adkins,2 Guns: Zero Tolerance (2015)
Billy Zane,2 Jacks (2012)
Danny Huston,2 Jacks (2012)
Sienna Miller,2 Jacks (2012)
Arly Jover,2 Nights Till Morning (2015)
Marie-Josée Croze,2 Nights Till Morning (2015)
Mikko Nousiainen,2 Nights Till Morning (2015)
Alia Bhatt,2 States (2014)
Amrita Singh,2 States (2014)
Arjun Kapoor,2 States (2014)
Etsushi Toyokawa,2 Women (2022)
Ryôko Hirosue,2 Women (2022)
Shinobu Terajima,2 Women (2022)
John Cheung,2 Wondrous Tigers (1979)
Pan Pan Yeung,2 Wondrous Tigers (1979)
Phillip Ko,2 Wondrous Tigers (1979)
Anthony Chau-Sang Wong,2 Young (2005)
Fiona Sit,2 Young (2005)
Jaycee Cho-Ming Chan,2 Young (2005)
Rajinikanth,2.0 (2018)
Carolina Crescentini,20 Cigarettes (2010)
Giorgio Colangeli,20 Cigarettes (2010)
Vinicio Marchioni,20 Cigarettes (2010)
Eric Balfour,200 Degrees (2017)
Joe Grisaffi,200 Degrees (2017)
Ju Jin-mo,200 Pounds Beauty (2006)
Kim Ah-jung,200 Pounds Beauty (2006)
Sung Dong-il,200 Pounds Beauty (2006)
Giuseppe Andrews,2001 Maniacs (2005)
Lin Shaye,2001 Maniacs (2005)
Robert Englund,2001 Maniacs (2005)
Bill Moseley,2001 Maniacs: Field of Screams (2010)
Christa Campbell,2001 Maniacs: Field of Screams (2010)
Lin Shaye,2001 Maniacs: Field of Screams (2010)
Dimple Kapadia,2001: Do Hazaar Ek (1998)
Jackie Shroff,2001: Do Hazaar Ek (1998)
Tabu,2001: Do Hazaar Ek (1998)
Kar-Ying Law,2002 (2001)
Nicholas Tse,2002 (2001)
Stephen Fung,2002 (2001)
Buck Adams,2002: A Sex Odyssey (1985)
Tom Byron,2002: A Sex Odyssey (1985)
Tracey Adams,2002: A Sex Odyssey (1985)
Helen Mirren,2010: The Year We Make Contact (1984)
John Lithgow,2010: The Year We Make Contact (1984)
Roy Scheider,2010: The Year We Make Contact (1984)
Chiwetel Ejiofor,2012 (2009)
John Cusack,2012 (2009)
Thandiwe Newton,2012 (2009)
Donny Damara,2014 (2014)
Ray Sahetapy,2014 (2014)
Rizky Nazar,2014 (2014)
K.D. Aubert,2016 (2017)
Liana Mendoza,2016 (2017)
Miguel A. Núñez Jr.,2016 (2017)
Asif Ali,2018 (2023)
Kunchacko Boban,2018 (2023)
Tovino Thomas,2018 (2023)
Al Cliver,2020 Texas Gladiators (1983)
Daniel Stephen,2020 Texas Gladiators (1983)
Harrison Muller,2020 Texas Gladiators (1983)
Lee Jung-jae,2036 Apocalypse Earth (2019)
Lee Sun-kyun,2036 Apocalypse Earth (2019)
Song Young-chang,2036 Apocalypse Earth (2019)
Danny Glover,2047: Sights of Death (2014)
Daryl Hannah,2047: Sights of Death (2014)
Michael Madsen,2047: Sights of Death (2014)
Aaron Glenane,2067 (2020)
Kodi Smit-McPhee,2067 (2020)
Ryan Kwanten,2067 (2020)
Angelica Lee,20:30:40 (2004)
Rene Liu,20:30:40 (2004)
Sylvia Chang,20:30:40 (2004)
Etsushi Toyokawa,20th Century Boys 1: Beginning of the End (2008)
Takako Tokiwa,20th Century Boys 1: Beginning of the End (2008)
Toshiaki Karasawa,20th Century Boys 1: Beginning of the End (2008)
Etsushi Toyokawa,20th Century Boys 2: The Last Hope (2009)
Takako Tokiwa,20th Century Boys 2: The Last Hope (2009)
Toshiaki Karasawa,20th Century Boys 2: The Last Hope (2009)
Kôichi Yamadera,20th Century Boys 3: Redemption (2009)
Qyoko Kudo,20th Century Boys 3: Redemption (2009)
Ryûnosuke Kamiki,20th Century Boys 3: Redemption (2009)
Annette Bening,20th Century Women (2016)
Elle Fanning,20th Century Women (2016)
Greta Gerwig,20th Century Women (2016)
Jim Sturgess,21 (2008)
Kate Bosworth,21 (2008)
Kevin Spacey,21 (2008)
Chadwick Boseman,21 Bridges (2019)
J.K. Simmons,21 Bridges (2019)
Sienna Miller,21 Bridges (2019)
Benicio Del Toro,21 Grams (2003)
Naomi Watts,21 Grams (2003)
Sean Penn,21 Grams (2003)
Channing Tatum,21 Jump Street (2012)
Ice Cube,21 Jump Street (2012)
Jonah Hill,21 Jump Street (2012)
André Dussollier,21 Nights with Pattie (2015)
Isabelle Carré,21 Nights with Pattie (2015)
Karin Viard,21 Nights with Pattie (2015)
Alexander Rei Lo,21 Red List (1994)
Fengyi Zhang,21 Red List (1994)
Sek-Ming Lau,21 Red List (1994)
Amy Acker,21 and a Wake-Up (2009)
Danica McKellar,21 and a Wake-Up (2009)
Faye Dunaway,21 and a Wake-Up (2009)
Heidi von Palleske,2103: The Deadly Wake (1997)
Malcolm McDowell,2103: The Deadly Wake (1997)
Michael Paré,2103: The Deadly Wake (1997)
Dominique Swain,2177: The San Francisco Love Hacker Crimes (2019)
Sean Patrick Flanery,2177: The San Francisco Love Hacker Crimes (2019)
Jean Reno,22 Bullets (2010)
Jean-Pierre Darroussin,22 Bullets (2010)
Kad Merad,22 Bullets (2010)
Fahadh Faasil,22 Female Kottayam (2012)
Rima Kallingal,22 Female Kottayam (2012)
Vijay Babu,22 Female Kottayam (2012)
Channing Tatum,22 Jump Street (2014)
Ice Cube,22 Jump Street (2014)
Jonah Hill,22 Jump Street (2014)
Parambrata Chattopadhyay,22 Shey Shraban (2011)
Prosenjit Chatterjee,22 Shey Shraban (2011)
Raima Sen,22 Shey Shraban (2011)
Amrita Singh,23rd March 1931: Shaheed (2002)
Bobby Deol,23rd March 1931: Shaheed (2002)
Sunny Deol,23rd March 1931: Shaheed (2002)
Adam Huss,24 (2016)
Leslie Easterbrook,24 (2016)
Maria Olsen,24 (2016)
Suriya,24 (2016)
Benoît Magimel,24 Bars (2007)
Lubna Azabal,24 Bars (2007)
Sami Bouajila,24 Bars (2007)
Jianbin Chen,24 City (2008)
Joan Chen,24 City (2008)
Jacques Gamblin,24 Days (2014)
Pascal Elbé,24 Days (2014)
Zabou Breitman,24 Days (2014)
Francis Ng,24 Hours Ghost Story (1997)
Gigi Lai,24 Hours Ghost Story (1997)
Simon Lui,24 Hours Ghost Story (1997)
Agnès Jaoui,24 Hours in the Life of a Woman (2002)
Bérénice Bejo,24 Hours in the Life of a Woman (2002)
Michel Serrault,24 Hours in the Life of a Woman (2002)
Ethan Hawke,24 Hours to Live (2017)
Paul Anderson,24 Hours to Live (2017)
Qing Xu,24 Hours to Live (2017)
Laura Basuki,24 Hours with Gaspar (2023)
Reza Rahadian,24 Hours with Gaspar (2023)
Shenina Cinnamon,24 Hours with Gaspar (2023)
Bjarne Mädel,24 Weeks (2016)
Julia Jentsch,24 Weeks (2016)
Ewa Szykulska,24 chasa dazhd (1982)
Stefan Danailov,24 chasa dazhd (1982)
Stefan Mavrodiyev,24 chasa dazhd (1982)
Aida Folch,25 Carat (2008)
Francesc Garrido,25 Carat (2008)
Manuel Morón,25 Carat (2008)
Carmen Maura,25 Degrees in Winter (2004)
Ingeborga Dapkunaite,25 Degrees in Winter (2004)
Jacques Gamblin,25 Degrees in Winter (2004)
Bjarne Mädel,25 km/h (2018)
